year,country,no,name,position,side,height,weight,birth,club,age,cohort,bmi
2001,RUS,10,tverdovsky oleg ,D,L,185,84,1976-05-18,anaheim mighty ducks ,24.952772073922,1976,24.5434623813002
2001,RUS,2,vichnevsky vitali ,D,L,188,86,1980-03-18,anaheim mighty ducks ,21.119780971937,1980,24.3322770484382
2001,RUS,26,petrochinin evgeni ,D,L,182,95,1976-02-07,severstal cherepovetal ,25.2292950034223,1976,28.6801110976935
2001,RUS,28,zhdan alexander ,D,R,178,85,1971-08-28,ak bars kazan ,29.6755646817248,1971,26.8274207802045
2001,RUS,32,orekhovsky oleg ,D,R,175,88,1977-11-03,dynamo moscow ,23.4907597535934,1977,28.734693877551
2001,RUS,4,zhukov sergei ,D,L,193,93,1975-11-23,lokomotiv yaroslavl ,25.4373716632444,1975,24.9671132110929
2001,RUS,6,evstafiev andrei ,D,L,176,84,1972-08-09,lokomotiv yaroslavl ,28.72553045859,1972,27.1177685950413
2001,RUS,7,krasotkin dmitri ,D,L,183,91,1971-08-28,lokomotiv yaroslavl ,29.6755646817248,1971,27.1731016154558
2001,RUS,13,razin andrei ,F,L,180,85,1973-10-23,metallurg magnitogorsk ,27.5208761122519,1973,26.2345679012346
2001,RUS,14,datsyuk pavel ,F,L,178,86,1978-07-20,ak bars kazan ,22.7816563997262,1978,27.1430374952657
2001,RUS,16,kuznetsov yuri ,F,L,187,93,1971-08-10,metallurg magnitogorsk ,29.7248459958932,1971,26.5949841287998
2001,RUS,18,but anton ,F,R,185,80,1980-07-03,lokomotiv yaroslavl ,20.8268309377139,1980,23.3747260774288
2001,RUS,19,yashin alexei ,F,R,198,95,1973-11-05,ottawa senators ,27.4852840520192,1973,24.2322212019182
2001,RUS,21,kharitonov alexander ,F,L,175,77,1976-03-30,tampa bay lightning ,25.0869267624914,1976,25.1428571428571
2001,RUS,22,golts alexander ,F,L,178,75,1972-03-12,metallurg magnitogorsk ,29.1362080766598,1972,23.6712536295922
2001,RUS,23,prokopiev alexander ,F,R,181,85,1971-06-10,avangard omsk ,29.8918548939083,1971,25.9454839595861
2001,RUS,25,arkhipov denis ,F,L,194,95,1979-05-19,nashville predators ,21.9520876112252,1979,25.2417897757466
2001,RUS,27,gusmanov ravil ,F,L,186,87,1972-07-25,metallurg magnitogorsk ,28.766598220397,1972,25.1474158862296
2001,RUS,29,kuvaldin alexander ,F,L,184,86,1974-03-16,dynamo moscow ,27.1266255989049,1974,25.4017013232514
2001,RUS,44,karpov valeri ,F,L,178,92,1971-08-05,lada togliatti ,29.7385352498289,1971,29.0367377856331
2001,RUS,94,korolyuk alexander ,F,L,175,90,1976-01-15,san jose sharks ,25.2922655715264,1976,29.3877551020408
2001,RUS,1,khlopotnov denis ,G,L,187,86,1978-01-27,cska moscow ,23.2580424366872,1978,24.5932111298579
2001,RUS,31,sokolov maxim ,G,L,180,75,1972-05-27,severstal cherepovetal ,28.9281314168378,1972,23.1481481481481
2001,RUS,35,shatalenkov mikhail ,G,L,188,84,1965-10-20,dynamo moscow ,35.5290896646133,1965,23.766410140335
2001,AUT,28,kasper peter ,D,R,182,88,1974-12-20,innsbruck ,26.362765229295,1974,26.5668397536529
2001,AUT,30,hohenberger herbert ,D,R,182,88,1969-02-08,augsburger panthers ,32.2245037645448,1969,26.5668397536529
2001,AUT,4,unterluggauer gerhard ,D,L,175,88,1976-08-15,ec villach ,24.7091033538672,1976,28.734693877551
2001,AUT,47,ulrich martin ,D,L,188,90,1969-12-16,berlin capitals ,31.3730321697468,1969,25.4640108646446
2001,AUT,6,lavoie joseph ,D,R,190,96,1967-11-21,hannover scorpions ,33.4428473648186,1967,26.5927977839335
2001,AUT,9,searle tom ,D,L,181,86,1963-04-26,ec villach ,38.0150581793292,1963,26.2507249473459
2001,AUT,10,brandner christoph ,F,L,196,98,1975-07-05,klagenfurter ac ,25.82340862423,1975,25.5102040816327
2001,AUT,11,ressmann gerald ,F,L,190,100,1970-07-24,klagenfurter ac ,30.7707049965777,1970,27.7008310249307
2001,AUT,12,trattnig matthias ,F,L,185,95,1979-04-22,main university ,22.0260095824778,1979,27.7574872169467
2001,AUT,14,lindner heimo ,F,L,186,88,1978-07-22,innsbruck ,22.776180698152,1978,25.4364666435426
2001,AUT,15,setzinger oliver ,F,L,180,76,1983-07-11,ilves tampere ,17.8069815195072,1983,23.4567901234568
2001,AUT,19,lukas philipp ,F,R,176,72,1979-12-04,ehc linz ,21.4072553045859,1979,23.2438016528926
